"year" "GDPpercap" "Tourists" "Temp" "global_means_urban" "global_means_past" "global_means_crop" "pop_global" "migration" "shipcalls" "import"
1888 2081.61904761905 NA 4.82508267313244 0.00177218309859155 0.0663271126760563 0.058118661971831 NA 275 89 0.00164836773425728
1889 2107.01984126984 NA 4.80960327237847 0.00178908450704225 0.0667989436619718 0.0584492957746479 NA 308 92 0.001798678187385
1890 1925.08876811594 NA 4.59583865702155 0.00180316901408451 0.0672728873239437 0.0587788732394366 1.51231096155931 301 127 0.00183086442928595
1891 2122.42063492063 NA 4.84843274429443 0.00183802816901408 0.067762676056338 0.0591302816901408 NA 342 106 0.00188068405994872
1892 2105.64285714286 NA 4.7944018006325 0.00187253521126761 0.0682573943661972 0.0594820422535211 NA 348 106 0.00177157142276759
1893 2064.54365079365 NA 4.75988190099599 0.00190598591549296 0.0687492957746479 0.0598316901408451 NA 298 231 0.00176038197600608
1894 2087.69444444444 NA 4.75588570199909 0.00194084507042254 0.0692426056338028 0.0601806338028169 NA 332 107 0.00174937804492909
1895 2007.98809523809 NA 4.82556164301934 0.00197464788732394 0.0697345070422535 0.0605334507042254 NA 319 57 0.00177716796264289
1896 2129.22619047619 NA 4.5857095628977 0.00200704225352113 0.0702278169014084 0.0608820422535211 NA 308 53 0.00191945443398906
1897 2149.10714285714 NA 4.65165911093356 0.00204295774647887 0.0707179577464789 0.0612359154929577 NA 291 42 0.00200253802057244
1898 2223.34126984127 NA 4.6052984133363 0.00207746478873239 0.0712088028169014 0.0615845070422535 NA 341 45 0.00208023727515616
1899 2257.32936507937 NA 4.8435078956187 0.0021112676056338 0.0717028169014085 0.0619369718309859 NA 346 39 0.0021691892422541
1900 1943.59213250518 NA 4.80810996182265 0.00214718309859155 0.0721957746478873 0.062287676056338 1.62552901353428 346 29 0.00231952787548589
1901 2213.58928571428 NA 5.01370243392887 0.00217887323943662 0.0728985915492958 0.0627246478873239 NA 349 1173 0.00232948920767398
1902 2229.71031746032 NA 4.8298355791718 0.00221091549295775 0.0736084507042254 0.063162676056338 NA 329 781 0.00238819795817681
1903 2325.67658730159 NA 4.79613781198861 0.00224049295774648 0.0743109154929577 0.0635975352112676 NA 299 722 0.00254265430747655
1904 2326.20634920635 NA 4.75096212178471 0.00227711267605634 0.0750169014084507 0.0640338028169014 NA 337 803 0.00261761218187972
1905 2384.78571428571 NA 4.84893193505707 0.00230845070422535 0.0757225352112676 0.0644728873239437 NA 356 957 0.00284740674802491
1906 2506.52936507937 NA 4.77695309035482 0.00234225352112676 0.0764285211267606 0.0649088028169014 NA 319 1052 0.00311111303655149
1907 2566.1626984127 NA 4.96272465810182 0.00237253521126761 0.0771327464788732 0.065350352112676 NA 349 1080 0.00338212573024323
1908 2491.18849206349 NA 4.85293678045275 0.00240457746478873 0.0778390845070423 0.0657823943661972 NA 342 1406 0.00314513403030491
1909 2564.00396825397 NA 4.88840196691456 0.00243767605633803 0.0785450704225352 0.0662193661971831 NA 324 776 0.00332924215819152
1910 2580.03968253968 NA 4.88400273062291 0.00247112676056338 0.0792492957746479 0.0666577464788732 1.74575430977572 390 1258 0.00369231024083248
1911 2646.59523809524 NA 4.87980820275845 0.0025 0.0800542253521127 0.0670985915492958 NA 345 2183 0.00388622399048167
1912 2667.02619047619 NA 4.90965830758216 0.00252957746478873 0.0808510563380282 0.0675341549295775 NA 388 969 0.0042479030550026
1913 2186.11979166667 NA 4.85402964465322 0.00255985915492958 0.0816507042253521 0.0679714788732394 NA 346 1369 0.00444597030445334
1914 2564.81111111111 NA 4.89865440540018 0.00258838028169014 0.0824521126760563 0.0684105633802817 NA 372 1267 0.00347656268774716
1915 2565.91031746032 NA 4.90824616178872 0.00261866197183099 0.0832521126760563 0.0688468309859155 NA 443 929 0.00337801383242097
1916 2669.99365079365 NA 5.00083747543397 0.00264964788732394 0.0840545774647887 0.0692901408450704 NA 504 1009 0.00437976890497928
1917 2644.55634920635 NA 5.03114372529092 0.00267887323943662 0.0848531690140845 0.0697239436619718 NA 539 823 0.00524154013689685
1918 2603.70396825397 NA 4.85776499882343 0.00270774647887324 0.0856524647887324 0.070162323943662 NA 623 656 0.00530592408442152
1919 2655.96904761905 NA 4.80097238942983 0.00273767605633803 0.0864521126760563 0.0706031690140845 NA 416 542 0.00760927256896288
1920 2601.08425925926 NA 4.93216547593477 0.00276584507042254 0.087256338028169 0.0710401408450704 1.87722709975284 393 537 0.00928110827135086
1921 2508.25116959064 NA 4.74578855037691 0.00280950704225352 0.0879964788732394 0.0715718309859155 NA 415 515 0.00562219963696592
1922 2594.60087719298 NA 4.71353670246901 0.00285387323943662 0.0887397887323944 0.072105985915493 NA 432 611 0.00512951531313883
1923 2419.29323308271 NA 4.79325685314836 0.00289683098591549 0.0894823943661972 0.072637676056338 NA 409 810 0.00557995093590883
1924 2465.48639455782 NA 4.73450133055451 0.00294049295774648 0.0902235915492958 0.0731735915492958 NA 439 603 0.00660824396574634
1925 2565.16224489796 NA 4.76144398227336 0.00298239436619718 0.0909658450704225 0.0737031690140845 NA 448 458 0.00669120465022909
1926 2589.65909090909 NA 4.7555670257658 0.00302640845070423 0.0917080985915493 0.0742348591549296 NA 420 466 0.00637981851176006
1927 2602.55995670996 NA 4.99993852935734 0.00306654929577465 0.09245 0.0747679577464789 NA 466 335 0.00673034159929774
1928 2736.67294372294 NA 4.76570575907829 0.00311161971830986 0.0931943661971831 0.0753017605633803 NA 424 430 0.00694189259918211
1929 2712.24450549451 NA 4.90493310093882 0.00315422535211268 0.0939359154929577 0.0758369718309859 NA 525 276 0.00698427065850794
1930 2608.66942188247 NA 5.04056589528921 0.00319964788732394 0.0946799295774648 0.0763669014084507 2.05270656860427 497 514 0.00557515404041094
1931 2413.45922917662 NA 4.85451352819803 0.00324471830985915 0.0957014084507042 0.0770306338028169 NA 499 400 0.00442450784358831
1932 2323.91622869884 NA 4.96133194714787 0.00329401408450704 0.0967207746478873 0.0776894366197183 NA 512 555 0.00380760589087419
1933 2385.96172957477 NA 5.03289582803848 0.00334225352112676 0.0977415492957747 0.0783510563380282 NA 547 833 0.0035872517769156
1934 2487.27576843446 NA 5.01310718841853 0.00338978873239437 0.0987658450704225 0.0790116197183099 NA 523 1115 0.00378244650413369
1935 2592.20078037904 NA 4.83751071467998 0.00343732394366197 0.0997845070422535 0.0796697183098592 NA 519 659 0.00400819859308045
1936 2776.32095078834 NA 4.75920754894616 0.00348485915492958 0.100805633802817 0.0803352112676056 NA 621 617 0.00427160161556879
1937 2904.68762541806 NA 5.03173830583694 0.00353098591549296 0.101827816901408 0.080994014084507 NA 631 741 0.00524123523111454
1938 2928.951144094 NA 4.79851521216335 0.00357992957746479 0.102849295774648 0.0816577464788732 NA 607 2718 0.00467477970672699
1939 3114.11904761905 NA 4.8022174857557 0.00362746478873239 0.103871478873239 0.0823172535211268 NA 574 1533 0.00432690569936977
1940 3147.97919799499 NA 4.98599935360255 0.00367359154929577 0.104892957746479 0.0829795774647887 2.26308433428848 696 436 0.00475667619502948
1941 3210.65313283208 NA 4.88736014291646 0.00371267605633803 0.105997183098592 0.0835739436619718 NA 737 1137 0.00493338768571198
1942 3414.0819235589 NA 4.84574737064543 0.00375105633802817 0.107098943661972 0.0841700704225352 NA 998 1052 0.00476196523371861
1943 3466.05158730159 NA 4.86052603125574 0.0037887323943662 0.108204929577465 0.0847658450704225 NA 994 1167 0.00545933298164388
1944 3448.47142857143 NA 5.00471484512093 0.00382711267605634 0.109311267605634 0.0853633802816901 NA 1247 1455 0.00575293519297774
1945 3213.3253968254 NA 4.96029620654883 0.00386654929577465 0.110416901408451 0.0859633802816901 NA 1214 1197 0.00495170927090672
