Taxon,Region,FirstRecord
Actaea rubra,Europe and Central Asia,1900
Actaea savignii,Asia and the Pacific,2006
Actaea savignii,Europe and Central Asia,2010
Actaeodes tomentosus,Europe and Central Asia,2013
Acteocina crithodes,Europe and Central Asia,2003
Acteocina mucronata,Africa,1989
Acteocina mucronata,Asia and the Pacific,1986
Acteocina mucronata,Europe and Central Asia,1986
Actinidia arguta,Europe and Central Asia,1993
Actinidia chinensis,Americas,2007
Actinidia chinensis,Asia and the Pacific,1960
Actinidia chinensis,Europe and Central Asia,1972
Actinidia kolomikta,Europe and Central Asia,1991
Actinocyclus normanii,Americas,1938
Actinocyclus normanii,Europe and Central Asia,1986
Actinotus helianthi,Asia and the Pacific,1990
Actites megalocarpus,Asia and the Pacific,1922
Actumnus globulus,Europe and Central Asia,1978
Aculomicrus sp,Americas,1989
Aculops allotrichus,Europe and Central Asia,1946
Aculops fuchsiae,Americas,1981
Aculops fuchsiae,Europe and Central Asia,2005
Aculops lycopersici,Africa,1976
Aculops lycopersici,Asia and the Pacific,1980
Aculus hippocastani,Europe and Central Asia,1907
Aculus hyperici,Asia and the Pacific,1991
Acupalpus meridianus,Americas,1931
Acutaspis aliena,Americas,1919
Acutaspis umbonifera,Europe and Central Asia,1970
Acyrthosiphon bidenticola,Americas,1991
Acyrthosiphon caraganae,Americas,1899
Acyrthosiphon caraganae,Europe and Central Asia,1901
Acyrthosiphon ignotum,Europe and Central Asia,1952
Acyrthosiphon kondoi,Americas,1974
Acyrthosiphon kondoi,Asia and the Pacific,1974
Acyrthosiphon lactucae,Americas,1943
Acyrthosiphon malvae,Americas,1891
Acyrthosiphon malvae,Asia and the Pacific,1956
Acyrthosiphon pisum,Americas,1877
Acyrthosiphon pisum,Asia and the Pacific,1972
Acyrthosiphon primulae,Asia and the Pacific,1929
Acyrthosiphon primulae,Europe and Central Asia,1903
Acythopeus burkhartorum,Americas,1999
Acythopeus cocciniae,Americas,1999
Adalia bipunctata,Americas,1939
Adalia bipunctata,Asia and the Pacific,1936
Adansonia digitata,Asia and the Pacific,1843
Adelacteon fulvus,Europe and Central Asia,1992
Adelencyrtus aulacaspidis,Asia and the Pacific,1962
Adelencyrtus aulacaspidis,Europe and Central Asia,1930
Adelges,Europe and Central Asia,1900
Adelges abietis,Americas,1881
Adelges cooleyi,Asia and the Pacific,1996
Adelges cooleyi,Europe and Central Asia,1913
Adelges coweni,Europe and Central Asia,1900
Adelges laricis,Americas,1895
Adelges merkeri,Europe and Central Asia,1900
Adelges nordmannianae,Asia and the Pacific,1956
Adelges nordmannianae,Europe and Central Asia,1840
Adelges nusslini,Americas,1941
Adelges nüsslini,Americas,1938
Adelges pectinatae,Europe and Central Asia,1871
Adelges piceae,Americas,1900
Adelges prelli,Europe and Central Asia,1900
Adelges tsugae,Americas,1921
Adelina pici,Europe and Central Asia,2003
Adelomyrmex myops,Americas,2003
Adelosina carinatastriata,Europe and Central Asia,2004
Adelotopus macilentus,Asia and the Pacific,2002
Adenandra uniflora,Asia and the Pacific,1843
Adenanthera pavonina,Africa,1900
Adenanthera pavonina,Americas,1876
Adenanthera pavonina,Asia and the Pacific,1843
Adenocaulon himalaicum,Europe and Central Asia,1980
Adenophora gmelinii,Europe and Central Asia,2005
Adenosma caeruleum,Asia and the Pacific,1996
Adenostemma platyphyllum,Americas,1964
Adenostyles alliariae,Europe and Central Asia,1953
Adiantum 'edwinii',Americas,1981
Adiantum aleuticum,Europe and Central Asia,2001
Adiantum capillus-veneris,Africa,2009
Adiantum capillus-veneris,Americas,1861
Adiantum capillus-veneris,Asia and the Pacific,1908
Adiantum capillus-veneris,Europe and Central Asia,1993
Adiantum caudatum,Americas,1987
Adiantum concinnum,Asia and the Pacific,1954
Adiantum diaphanum,Asia and the Pacific,1905
Adiantum hispidulum,Americas,1923
Adiantum hispidulum,Europe and Central Asia,1907
Adiantum latifolium,Asia and the Pacific,1982
Adiantum macrophyllum,Americas,2014
Adiantum poiretii,Asia and the Pacific,1982
Adiantum polyphyllum,Americas,1889
Adiantum polyphyllum,Europe and Central Asia,2000
Adiantum pulverulentum,Asia and the Pacific,1982
Adiantum raddianum,Africa,1905
Adiantum raddianum,Americas,1907
Adiantum raddianum,Asia and the Pacific,1950
Adiantum raddianum,Europe and Central Asia,1911
Adiantum tenerum,Americas,1888
Adiantum tenerum,Asia and the Pacific,1895
Adiantum trapeziforme,Asia and the Pacific,1965
Adistemia watsoni,Americas,1985
Adistemia watsoni,Asia and the Pacific,1969
Adistemia watsoni,Europe and Central Asia,1959
Adlumia fungosa,Europe and Central Asia,1927
Adonidia merrillii,Americas,1987
Adonis aestivalis,Americas,1912
Adonis annua,Europe and Central Asia,1548
Adonis flammea,Europe and Central Asia,1807
Adonis microcarpa,Asia and the Pacific,1905
Adonis vernalis,Americas,1806
