Taxon,Region,FirstRecord
Cairina moschata,Europe and Central Asia,1985
Cajanus cajan,Americas,1941
Cakile maritima,Americas,1935
Calendula officinalis,Americas,1848
Calendula tripterocarpa,Americas,1960
Calicotome spinosa,Asia and the Pacific,1933
Caliroa cerasi,Americas,1799
Callicarpa dichotoma,Americas,1886
Callidiellum rufipennis,Americas,1954
Callidiellum rufipennis,Europe and Central Asia,1988
Callinectes sapidus,Africa,1963
Callinectes sapidus,Europe and Central Asia,1947
Callionymus filamentosus,Europe and Central Asia,1951
Callisia repens,Africa,1999
Callistachys lanceolata,Asia and the Pacific,1931
Callistemon rigidus,Asia and the Pacific,1974
Callistemon viminalis,Americas,1985
Callithrix jacchus,Americas,1900
Callitriche stagnalis,Americas,1861
Callosciurus erythraeus,Americas,1970
Callosciurus erythraeus,Asia and the Pacific,1935
Callosciurus erythraeus,Europe and Central Asia,1998
Callosciurus finlaysonii,Europe and Central Asia,1981
Callosobruchus analis,Asia and the Pacific,1995
Callosobruchus maculatus,Asia and the Pacific,1960
Calluna vulgaris,Americas,1891
Calluna vulgaris,Asia and the Pacific,1909
Calomycterus setarius,Americas,1929
Calopogonium mucunoides,Africa,1929
Calotis lappulacea,Asia and the Pacific,1882
Calotropis procera,Americas,1900
Calyptospadix cerulea,Americas,1901
Calyptospadix cerulea,Europe and Central Asia,1978
Calystegia pulchra,Europe and Central Asia,1910
Calystegia sepium,Americas,1878
Calystegia silvatica,Asia and the Pacific,1903
Camelina alyssum,Americas,2001
Camelina microcarpa,Americas,1894
Camelina sativa,Americas,1910
Camelus dromedarius,Asia and the Pacific,1863
Cameraria ohridella,Europe and Central Asia,1993
Campanula cervicaria,Americas,1946
Campanula glomerata,Americas,1901
Campanula glomerata,Europe and Central Asia,1863
Campanula rapunculoides,Americas,1879
Campanula rapunculoides,Europe and Central Asia,1800
Campuloclinium macrocephalum,Africa,1962
Campylopus introflexus,Americas,1994
Campylopus introflexus,Europe and Central Asia,1941
Cancer irroratus,Europe and Central Asia,2019
Canis lupus,Americas,1500
Canis lupus,Asia and the Pacific,1404
Canis lupus,Europe and Central Asia,1960
Canna generalis,Africa,1964
Canna indica,Africa,1800
Canna indica,Asia and the Pacific,1869
Cannabis sativa,Americas,1918
Cannabis sativa,Europe and Central Asia,1868
Capra hircus,Africa,1512
Capra hircus,Americas,1500
Capra hircus,Asia and the Pacific,1788
Capra hircus,Europe and Central Asia,1350
Caprella mutica,Americas,1997
Caprella mutica,Europe and Central Asia,1920
Caprella scaura,Europe and Central Asia,1990
Capsella bursa-pastoris,Americas,1846
Capsella grandiflora,Europe and Central Asia,1877
Caragana arborescens,Americas,1882
Caragana arborescens,Europe and Central Asia,1800
Carassius auratus,Americas,1856
Carassius auratus,Asia and the Pacific,1876
Carassius auratus,Europe and Central Asia,1650
Carassius carassius,Asia and the Pacific,1915
Carassius cuvieri,Asia and the Pacific,1959
Carassius gibelio,Europe and Central Asia,1600
Carcinus aestuarii,Asia and the Pacific,1984
Carcinus maenas,Americas,1950
Carcinus maenas,Asia and the Pacific,1816
Cardamine flexuosa,Americas,1897
Cardamine hirsuta,Americas,1933
Cardamine impatiens,Americas,1954
Cardiospermum grandiflorum,Africa,1912
Carduelis carduelis,Americas,1913
Carduus acanthoides,Americas,1907
